Crop Name,Area Name,Area of Land in acres,Amount of Production in Tons,Rainfall in MM,Temparature degree cellcius,Year,,Random,
Wheat,Dhaka,98255,75475,4.75,,1985,,0.797246356,32
Wheat,Patuakhali,350,200,18,,1985,,0.797182441,32
Wheat,Noakhali,4040,2400,3.5,,1985,,0.797137106,32
Wheat,Kustia,107385,94290,11.39,,1985,,0.796642875,32
Wheat,Kishoregonj,28150,20890,11.39,,1985,,0.796060808,32
Wheat,Khulna,11680,10410,6.75,,1985,,0.795274382,32
Wheat,Chittagonj,230,150,55.75,,1985,,0.79522954,31
Wheat,Rajshahi,144580,108380,6.5,,1985,,0.794033867,32
Wheat,Rangamati,90,40,25,,1985,,0.792699885,32
Wheat,Sylhet,13480,9270,12.25,,1985,,0.792225334,33
Wheat,Pabna,133360,86500,11.39,,1985,,0.792168335,31
Wheat,Khagrachari,40,35,11.39,,1985,,0.791522624,33
Wheat,Bandarban,10,5,11.39,,1985,,0.789433906,33
Wheat,Comilla,159965,140195,2.25,,1985,,0.789427217,33
Wheat,Bogra,65875,61130,2,,1985,,0.789169896,32
Wheat,Faridpur,104955,65720,1,,1985,,0.789139626,32
Wheat,Mymensingh,318510,22270,12.75,,1985,,0.789067256,31
Wheat,Rangpur,130400,108420,13.5,,1985,,0.787948347,32
Wheat,Jamalpur,41810,31880,11.39,,1985,,0.786826799,30
Wheat,Dinajpur,117355,88565,3,,1985,,0.786512555,29
Wheat,Jessore,75200,58635,12.5,,1985,,0.786400068,29
Wheat,Rangpur,185790,165345,14.75,,1986,,0.785986535,29
Wheat,Khulna,11675,9630,40.25,,1986,,0.785857657,29
Wheat,Tangail,66030,47125,34.48,,1986,,0.785720137,29
Wheat,Sylhet,20235,11495,28.75,,1986,,0.785344675,28
Wheat,Barisal,11320,3950,70.25,,1986,,0.785145494,29
Wheat,Kustia,108675,73190,34.48,,1986,,0.784829105,29
Wheat,Dhaka,94205,51555,49.25,,1986,,0.784748448,29
Wheat,Faridpur,109715,62945,38.5,,1986,,0.784290345,29
Wheat,Khagrachari,25,10,34.48,,1986,,0.7833621,29
Wheat,Jamalpur,54685,39720,34.48,,1986,,0.782489688,29
Wheat,Kishoregonj,30845,19800,34.48,,1986,,0.782178722,29
Wheat,Rangamati,45,20,36.25,,1986,,0.781925498,29
Wheat,Rajshahi,130220,109760,11.5,,1986,,0.781865224,29
Wheat,Chittagonj,475,265,31,,1986,,0.781039597,29
Wheat,Pabna,125440,96045,34.48,,1986,,0.780977447,29
Wheat,Patuakhali,200,80,74,,1986,,0.779573349,29
Wheat,Comilla,175110,141680,35.5,,1986,,0.779288887,29
Wheat,Dinajpur,140115,114780,9.25,,1986,,0.778906293,29
Wheat,Bogra,58400,49310,9.75,,1986,,0.778578256,30
Wheat,Jessore,88160,70795,43.5,,1986,,0.778510125,28
Wheat,Mymensingh,29835,21370,26,,1986,,0.777992329,29
Wheat,Noakhali,3800,2120,33.25,,1986,,0.777752112,28
Wheat,Bandarban,0,0,34.48,,1986,,0.776898611,29
